EE #,Job Title,Current Employment Status,Project Code,Original Hire Date,Last Hire Date,LOS in Days,Termination Date,Reason Code,Left,Fired
289079,Operator Renewables,T,55123,11/18/2024,11/18/2024,32,12/20/2024,Personal/Family,1,0
289101,Electrician Renewables,T,55074,07/15/2021,07/15/2021,267,04/08/2022,Lack of Work,0,0
289103,Electrician Renewables,T,55074,07/15/2021,02/17/2022,134,07/01/2022,Lack of Work,0,0
289106,Electrician Renewables,T,55074,07/15/2021,07/15/2021,161,12/23/2021,Lack of Work,0,0
289115,Helper Renewables,T,55074,07/15/2021,07/15/2021,161,12/23/2021,Lack of Work,0,0
289175,Laborer Renewables,T,55076,07/15/2021,07/15/2021,48,09/01/2021,Discharge,0,1
289184,Operator Renewables,T,55094,11/07/2023,11/07/2023,189,05/14/2024,Other Job,1,0
289276,Operator Renewables,T,55076,07/22/2021,07/22/2021,26,08/17/2021,Resignation,1,0
289283,Project Manager,T,,08/17/2021,08/17/2021,"1,242",01/10/2025,Resignation,1,0
289377,HSE Site Technician,T,55074,07/27/2021,07/27/2021,100,11/04/2021,Lack of Work,0,0
289389,Superintendent Renewbls,T,,08/17/2021,08/17/2021,260,05/04/2022,Performance,0,1
289417,Laborer Renewables,T,55085,07/26/2021,07/26/2021,634,04/21/2023,Resignation,1,0
289439,Electrician Renewables,T,55076,07/27/2021,07/27/2021,73,10/08/2021,Resignation,1,0
289529,General Superintendent,A,55123,02/08/2022,02/08/2022,"1,115",,,0,0
289518,Laborer Renewables,T,55074,08/02/2021,08/02/2021,39,09/10/2021,Lack of Work,0,0
289541,Laborer Renewables,T,55076,08/03/2021,08/03/2021,136,12/17/2021,Other Job,1,0
289544,Operator Renewables,T,55076,08/03/2021,08/03/2021,98,11/09/2021,Resignation,1,0
289577,Operator Renewables,A,55105,08/04/2021,09/11/2024,169,,,0,0
289643,Foreman Renewables,T,55081,08/10/2021,08/10/2021,232,03/30/2022,Policy Viol-Other,0,0
289660,Laborer Renewables,T,55074,08/10/2021,08/10/2021,35,09/14/2021,Lack of Work,0,0
289680,Electrician Renewables,T,55076,08/11/2021,08/11/2021,541,02/03/2023,Other Job,1,0
289685,Laborer Renewables,T,55076,08/11/2021,08/11/2021,83,11/02/2021,No Call-No Show,0,1
289688,Helper Renewables,T,55074,08/12/2021,08/12/2021,22,09/03/2021,Lack of Work,0,0
289692,Helper Renewables,T,55074,08/12/2021,08/12/2021,99,11/19/2021,Lack of Work,0,0
289696,Helper Renewables,T,55074,08/12/2021,08/12/2021,8,08/20/2021,Lack of Work,0,0
289702,Helper Renewables,T,55074,08/12/2021,08/12/2021,29,09/10/2021,Lack of Work,0,0
289892,Operator Renewables,T,55075,08/24/2021,08/24/2021,134,01/05/2022,Resignation,1,0
289894,Truck Driver Renewables,T,55075,08/24/2021,08/24/2021,545,02/20/2023,Other Job,1,0
289902,Operator Renewables,T,55117,08/23/2021,08/27/2024,14,09/10/2024,Lack of Work,0,0
289912,Operator Renewables,T,55076,08/24/2021,10/13/2021,747,10/30/2023,No Call-No Show,0,1
289992,Laborer Renewables,T,55093,08/24/2021,11/03/2022,231,06/22/2023,Other Job,1,0
289994,Operator Renewables,T,55085,08/24/2021,08/08/2023,28,09/05/2023,No Call-No Show,0,1
290075,Laborer Renewables,T,55085,08/31/2021,08/24/2023,7,08/31/2023,No Call-No Show,0,1
290093,Laborer Renewables,T,55306,08/31/2021,03/27/2023,102,07/07/2023,Lack of Work,0,0
290159,Laborer Renewables,T,55074,09/07/2021,09/07/2021,59,11/05/2021,Lack of Work,0,0
290172,Project Controller 3,T,,09/21/2021,09/21/2021,717,09/08/2023,Resignation,1,0
290174,Laborer Renewables,T,55073,09/07/2021,09/07/2021,77,11/23/2021,Personal/Family,1,0
290182,Finance Manager,L,,09/28/2021,09/28/2021,"1,248",,,0,0
290185,Foreman Renewables,A,55093,09/07/2021,09/07/2021,"1,269",,,0,0
290460,Foreman Renewables,A,55113,09/21/2021,01/17/2023,772,,,0,0
287662,Project Controller 3,T,55101,05/25/2021,05/25/2021,"1,347",01/31/2025,Personal/Family,1,0
287665,Electrician Renewables,T,55074,05/25/2021,05/25/2021,29,06/23/2021,Performance,0,1
287668,Electrician Renewables,T,55074,05/25/2021,05/25/2021,29,06/23/2021,Performance,0,1
287669,Procurement Manager,T,,05/25/2021,05/25/2021,255,02/04/2022,Other Job,1,0
287673,Electrician Renewables,T,55074,05/25/2021,05/25/2021,94,08/27/2021,Lack of Work,0,0
287679,Helper Renewables,T,55074,05/26/2021,05/26/2021,100,09/03/2021,Lack of Work,0,0
287681,Helper Renewables,T,55074,05/26/2021,03/24/2022,71,06/03/2022,Lack of Work,0,0
287691,Helper Renewables,T,55074,05/26/2021,05/26/2021,30,06/25/2021,Lack of Work,0,0
287692,Laborer Renewables,T,55074,05/26/2021,05/26/2021,128,10/01/2021,Lack of Work,0,0
287698,Electrician Renewables,T,55074,05/26/2021,05/26/2021,211,12/23/2021,Lack of Work,0,0
287702,Electrician Renewables,T,55074,05/26/2021,02/17/2022,106,06/03/2022,Lack of Work,0,0
287716,Laborer Renewables,T,55074,05/27/2021,05/27/2021,127,10/01/2021,Lack of Work,0,0
287723,Electrician Renewables,T,55074,05/27/2021,05/27/2021,92,08/27/2021,Lack of Work,0,0
287724,Helper Renewables,T,55074,05/27/2021,03/17/2023,42,04/28/2023,Lack of Work,0,0
287726,Laborer Renewables,T,55074,05/27/2021,05/27/2021,127,10/01/2021,Lack of Work,0,0
287729,Laborer Renewables,T,55074,05/27/2021,05/27/2021,56,07/22/2021,Resignation,1,0
287782,Laborer Renewables,T,55074,05/27/2021,05/27/2021,162,11/05/2021,Lack of Work,0,0
287823,Laborer Renewables,T,55074,06/01/2021,06/01/2021,101,09/10/2021,Lack of Work,0,0
287828,Helper Renewables,T,55074,06/01/2021,06/01/2021,24,06/25/2021,Lack of Work,0,0
287833,Helper Renewables,T,55074,06/01/2021,06/01/2021,66,08/06/2021,Lack of Work,0,0
287849,Electrician Renewables,T,55074,05/28/2021,05/28/2021,28,06/25/2021,Lack of Work,0,0
287871,Intern,T,55075,05/25/2021,05/25/2021,73,08/06/2021,Return to School,1,0
287933,Helper Renewables,T,55074,06/01/2021,06/01/2021,73,08/13/2021,Lack of Work,0,0
287936,Laborer Renewables,T,55074,06/02/2021,06/02/2021,121,10/01/2021,Lack of Work,0,0
286452,Laborer Renewables,T,55073,02/22/2021,02/22/2021,28,03/22/2021,Lack of Work,0,0
286455,Laborer Renewables,T,55073,02/22/2021,02/22/2021,30,03/24/2021,Resignation,1,0
286459,Operator Renewables,T,55105,02/22/2021,06/05/2024,229,01/20/2025,Resignation,1,0
286460,Laborer Renewables,T,55073,02/22/2021,02/22/2021,95,05/28/2021,Lack of Work,0,0
286464,Gen Foreman Renewables,A,55097,02/22/2021,02/22/2021,"1,466",,,0,0
286466,Foreman Renewables,T,55075,02/24/2021,02/24/2021,270,11/21/2021,Personal/Family,1,0
286477,Laborer Renewables,T,55076,02/22/2021,10/18/2021,198,05/04/2022,Other Job,1,0
286495,Helper Renewables,T,55094,02/23/2021,12/19/2023,122,04/19/2024,Other Job,1,0
286499,Laborer Renewables,T,55073,02/24/2021,02/24/2021,49,04/14/2021,Lack of Work,0,0
286502,Laborer Renewables,T,55073,02/24/2021,02/24/2021,49,04/14/2021,Lack of Work,0,0
286504,Laborer Renewables,T,55073,02/24/2021,02/24/2021,49,04/14/2021,Lack of Work,0,0
286516,Foreman Renewables,T,55074,05/13/2021,05/13/2021,174,11/03/2021,Lack of Work,0,0
286531,Survey Tech Renewables,A,55102,03/02/2021,04/02/2024,331,,,0,0
286535,Helper Renewables,T,55074,05/11/2021,05/11/2021,201,11/28/2021,Lack of Work,0,0
286562,Laborer Renewables,T,55075,03/08/2021,12/14/2021,41,01/24/2022,Lack of Work,0,0
286565,Laborer Renewables,T,55087,03/08/2021,12/15/2022,52,02/05/2023,Personal/Family,1,0
286573,Laborer Renewables,T,55073,03/09/2021,03/09/2021,59,05/07/2021,Lack of Work,0,0
286578,Electrician Renewables,T,55072,03/15/2021,03/15/2021,7,03/22/2021,Discharge,0,1
286599,Laborer Renewables,T,55073,03/12/2021,03/12/2021,46,04/27/2021,Lack of Work,0,0
286606,Laborer Renewables,T,55073,03/12/2021,03/12/2021,26,04/07/2021,Lack of Work,0,0
286609,Helper Renewables,T,55087,12/06/2022,12/06/2022,106,03/22/2023,Personal/Family,1,0
286620,Laborer Renewables,T,55073,03/15/2021,03/15/2021,26,04/10/2021,Lack of Work,0,0
286626,Laborer Renewables,T,55073,03/15/2021,03/15/2021,43,04/27/2021,Lack of Work,0,0
286630,Laborer Renewables,T,55073,03/15/2021,03/15/2021,27,04/11/2021,Lack of Work,0,0
286634,Laborer Renewables,T,55076,03/16/2021,03/16/2021,266,12/07/2021,Personal/Family,1,0
286640,Laborer Renewables,T,55073,03/16/2021,03/16/2021,29,04/14/2021,Lack of Work,0,0
289538,Helper Renewables,A,55100,08/03/2021,06/06/2024,266,,,0,0
289545,Laborer Renewables,T,55087,08/04/2021,08/04/2021,568,02/23/2023,Policy Viol-Drug/Alcohol,0,1
289546,Electrician Renewables,T,55308,08/03/2021,11/01/2022,617,07/10/2024,Personal/Family,1,0
289662,Laborer Renewables,T,55074,08/10/2021,08/10/2021,35,09/14/2021,Lack of Work,0,0
289686,Helper Renewables,T,55087,08/11/2021,12/14/2022,78,03/02/2023,Personal/Family,1,0
289693,Helper Renewables,T,55074,08/12/2021,08/12/2021,15,08/27/2021,Lack of Work,0,0
289694,Helper Renewables,T,55074,08/12/2021,08/12/2021,99,11/19/2021,Lack of Work,0,0
289882,Electrical Engineer,T,,09/07/2021,09/07/2021,556,03/17/2023,Other Job,1,0
289893,Laborer Renewables,T,55089,08/24/2021,08/09/2022,58,10/06/2022,Resignation,1,0
289907,Operator Renewables,T,55076,08/23/2021,08/23/2021,330,07/19/2022,No Call-No Show,0,1
289965,Senior Project Manager,A,,09/07/2021,09/07/2021,"1,269",,,0,0
289997,Laborer Renewables,T,55076,08/25/2021,08/25/2021,135,01/07/2022,Lack of Work,0,0
289998,Laborer Renewables,T,55076,08/26/2021,08/26/2021,8,09/03/2021,No Call-No Show,0,1
289999,Operator Renewables,T,55086,08/25/2021,08/25/2021,359,08/19/2022,Death,0,0
290026,Laborer Renewables,A,55113,04/18/2023,02/05/2025,22,,,0,0
290082,Electrician Renewables,T,55075,08/31/2021,08/31/2021,17,09/17/2021,Death,0,0
290092,Laborer Renewables,T,55076,09/01/2021,09/01/2021,0,09/01/2021,No Call-No Show,0,1
290144,Vice President,A,,09/20/2021,05/23/2022,"1,011",,,0,0
290155,Welder,T,55117,05/07/2024,08/21/2024,11,09/01/2024,Transferred out,0,0
290171,Foreman Renewables,T,55094,09/07/2021,09/07/2021,"1,231",01/20/2025,Lack of Work,0,0
290225,Process Engineer,T,,09/21/2021,09/21/2021,926,04/04/2024,Resignation,1,0
290314,Laborer Renewables,T,55085,09/13/2021,09/13/2021,296,07/06/2022,Policy Viol-Drug/Alcohol,0,1
290362,Field Admin,T,55093,09/16/2021,09/16/2021,510,02/08/2023,Resignation,1,0
290411,Operator Renewables,T,55081,09/13/2021,09/13/2021,91,12/13/2021,Lack of Work,0,0
290587,Operator Renewables,T,55076,09/27/2021,09/27/2021,1,09/28/2021,Resignation,1,0
290627,Foreman Renewables,A,55123,09/28/2021,11/07/2023,478,,,0,0
290642,Gen Foreman Renewables 2,T,55075,10/19/2021,10/19/2021,688,09/07/2023,Other Job,1,0
290471,Gen Foreman Renewables,A,55100,09/21/2021,08/23/2022,919,,,0,0
290481,Operator Renewables,T,55143,09/21/2021,05/21/2024,202,12/09/2024,Lack of Work,0,0
290496,Laborer Renewables,T,55076,09/22/2021,09/22/2021,45,11/06/2021,Personal/Family,1,0
290500,Project Manager 2,T,,10/05/2021,10/05/2021,135,02/17/2022,Other Job,1,0
290616,Operator Renewables,A,55126,09/28/2021,03/11/2022,"1,084",,,0,0
290621,Foreman Renewables,A,55094,09/28/2021,09/28/2021,"1,248",,,0,0
290624,Operator App Renewables,A,55138,09/28/2021,02/19/2025,8,,,0,0
290669,Laborer Renewables,T,55076,09/30/2021,09/30/2021,105,01/13/2022,Lack of Work,0,0
290709,Laborer Renewables,T,55076,10/04/2021,06/22/2023,64,08/25/2023,Personal/Family,1,0
290731,Laborer Renewables,T,55076,10/04/2021,10/04/2021,284,07/15/2022,Lack of Work,0,0
290736,Admin Specialist,A,55106,10/04/2021,12/09/2024,80,,,0,0
290746,Laborer Renewables,T,55075,10/05/2021,10/05/2021,133,02/15/2022,Resignation,1,0
290755,Laborer Renewables,T,55075,10/05/2021,10/05/2021,2,10/07/2021,No Call-No Show,0,1
290757,Gen Foreman Renewables 2,A,55113,10/05/2021,09/26/2023,520,,,0,0
290763,Laborer Renewables,T,55075,10/05/2021,10/05/2021,14,10/19/2021,No Call-No Show,0,1
290766,Laborer Renewables,T,55075,10/05/2021,10/05/2021,120,02/02/2022,Lack of Work,0,0
290768,Laborer Renewables,T,55075,10/05/2021,10/05/2021,6,10/11/2021,Performance,0,1
290780,Operator Renewables,A,55091,10/06/2021,12/02/2024,87,,,0,0
290787,Laborer Renewables,T,55076,10/06/2021,10/06/2021,72,12/17/2021,Personal/Family,1,0
290791,Laborer Renewables,T,55076,10/06/2021,10/06/2021,100,01/14/2022,Lack of Work,0,0
290792,Operator Renewables,T,55123,10/06/2021,06/19/2024,229,02/03/2025,No Call-No Show,0,1
290806,Operator Renewables,T,55076,10/06/2021,10/06/2021,539,03/29/2023,Personal/Family,1,0
290810,Laborer Renewables,T,55076,10/07/2021,10/07/2021,127,02/11/2022,Personal/Family,1,0
290882,Laborer Renewables,T,55076,10/12/2021,10/12/2021,148,03/09/2022,Resignation,1,0
290908,Foreman Renewables,T,55109,10/12/2021,04/20/2022,978,12/23/2024,Lack of Work,0,0
290913,Laborer Renewables,T,55075,10/12/2021,10/12/2021,100,01/20/2022,Lack of Work,0,0
287941,Helper Renewables,T,55074,06/04/2021,06/04/2021,13,06/17/2021,Performance,0,1
287942,Electrician Renewables,T,55074,06/03/2021,06/03/2021,202,12/22/2021,Lack of Work,0,0
287950,Helper Renewables,T,55074,06/03/2021,06/03/2021,15,06/18/2021,,0,0
287955,Helper Renewables,T,55074,06/03/2021,06/03/2021,14,06/17/2021,Performance,0,1
287956,Helper Renewables,T,55074,06/01/2021,06/01/2021,6,06/07/2021,Performance,0,1
287958,Helper Renewables,T,55074,06/03/2021,06/03/2021,36,07/09/2021,Lack of Work,0,0
288016,Laborer Renewables,T,55074,06/01/2021,06/01/2021,103,09/12/2021,Lack of Work,0,0
288017,Laborer Renewables,T,55074,06/02/2021,06/02/2021,131,10/11/2021,Lack of Work,0,0
288032,Electrician Renewables,T,55074,06/08/2021,06/08/2021,80,08/27/2021,Lack of Work,0,0
288033,Helper Renewables,T,55074,06/08/2021,06/08/2021,80,08/27/2021,Lack of Work,0,0
288074,Contracts Specialist,T,,06/08/2021,06/08/2021,563,12/23/2022,Retirement/Consultant,1,0
288080,Laborer Renewables,T,55075,06/09/2021,06/09/2021,51,07/30/2021,Resignation,1,0
288104,Operations Director,T,,06/08/2021,06/08/2021,66,08/13/2021,Moving,1,0
288125,Superintendent Renewbls 2,T,55074,06/08/2021,06/08/2021,52,07/30/2021,Discharge,0,1
288138,Helper Renewables,T,55074,06/09/2021,06/09/2021,65,08/13/2021,Lack of Work,0,0
288140,Helper Renewables,T,55074,06/09/2021,06/09/2021,35,07/14/2021,Lack of Work,0,0
288141,Helper Renewables,T,55074,06/09/2021,06/09/2021,79,08/27/2021,Lack of Work,0,0
288145,Helper Renewables,T,55074,06/09/2021,06/09/2021,16,06/25/2021,Lack of Work,0,0
288151,Electrician Renewables,T,55074,06/09/2021,06/09/2021,79,08/27/2021,Lack of Work,0,0
288160,Electrician Renewables,T,55074,06/09/2021,06/09/2021,93,09/10/2021,Lack of Work,0,0
288165,Electrician Renewables,T,55074,06/09/2021,06/09/2021,163,11/19/2021,Lack of Work,0,0
288169,Helper Renewables,T,55074,06/09/2021,06/09/2021,8,06/17/2021,Performance,0,1
288186,Foreman Renewables,T,55091,05/08/2023,05/08/2023,513,10/02/2024,Other Job,1,0
288203,Helper Renewables,T,55074,06/10/2021,06/10/2021,85,09/03/2021,Lack of Work,0,0
286641,Laborer Renewables,T,55087,03/17/2021,09/21/2021,"1,222",01/25/2025,Lack of Work,0,0
286642,Gen Foreman Renewables,A,55102,03/16/2021,10/28/2021,"1,218",,,0,0
286644,Laborer Renewables,T,55073,03/16/2021,03/16/2021,29,04/14/2021,Lack of Work,0,0
286647,Laborer Renewables,T,55073,03/16/2021,03/16/2021,28,04/13/2021,Lack of Work,0,0
286659,Laborer Renewables,T,55073,03/17/2021,03/17/2021,28,04/14/2021,Lack of Work,0,0
286662,Laborer Renewables,T,55073,03/17/2021,03/17/2021,41,04/27/2021,Lack of Work,0,0
286703,Laborer Renewables,T,55073,03/22/2021,03/22/2021,184,09/22/2021,Personal/Family,1,0
286720,Laborer Renewables,T,55073,03/23/2021,03/23/2021,10,04/02/2021,Resignation,1,0
286746,Foreman Renewables,A,55086,03/29/2021,03/29/2021,"1,431",,,0,0
286755,Laborer Renewables,T,55073,03/30/2021,03/30/2021,15,04/14/2021,Lack of Work,0,0
286756,Laborer Renewables,T,55073,03/30/2021,03/30/2021,15,04/14/2021,Lack of Work,0,0
286767,Laborer Renewables,T,55073,03/30/2021,03/30/2021,15,04/14/2021,Lack of Work,0,0
286768,Truck Driver Renewables,T,55085,04/05/2021,04/05/2021,431,06/10/2022,Resignation,1,0
286778,Laborer Renewables,T,55073,04/01/2021,04/01/2021,13,04/14/2021,Lack of Work,0,0
286801,Helper Renewables,A,55094,04/07/2021,04/23/2024,310,,,0,0
286813,Laborer Renewables,T,55075,04/13/2021,04/13/2021,31,05/14/2021,Lack of Work,0,0
286909,Mechanic Field,A,,05/04/2021,05/04/2021,"1,395",,,0,0
287529,Helper Renewables,T,55074,05/18/2021,05/18/2021,52,07/09/2021,Lack of Work,0,0
287540,Laborer Renewables,T,55074,05/19/2021,05/19/2021,107,09/03/2021,Lack of Work,0,0
287551,Helper Renewables,T,55074,05/19/2021,05/19/2021,100,08/27/2021,Lack of Work,0,0
287561,Laborer Renewables,T,55074,05/19/2021,05/19/2021,114,09/10/2021,Lack of Work,0,0
287572,Laborer Renewables,T,55074,05/19/2021,05/19/2021,9,05/28/2021,Resignation,1,0
287577,Electrician Renewables,T,55074,05/20/2021,05/20/2021,64,07/23/2021,Resignation,1,0
287578,Electrician Renewables,T,55074,05/20/2021,05/20/2021,64,07/23/2021,Resignation,1,0
287583,Laborer Renewables,T,55074,05/20/2021,05/20/2021,29,06/18/2021,Resignation,1,0
287584,Laborer Renewables,T,55074,05/20/2021,05/20/2021,216,12/22/2021,Lack of Work,0,0
290647,HSE Site Manager,A,55113,09/28/2021,09/28/2021,"1,248",,,0,0
290732,Foreman Renewables,T,55087,10/04/2021,10/04/2021,357,09/26/2022,Other Job,1,0
290733,Laborer Renewables,T,55076,10/05/2021,10/05/2021,47,11/21/2021,Policy Viol-Drug/Alcohol,0,1
290758,Laborer Renewables,T,55075,10/05/2021,10/05/2021,8,10/13/2021,No Call-No Show,0,1
290762,Laborer Renewables,T,55075,10/05/2021,10/05/2021,120,02/02/2022,Lack of Work,0,0
290793,Laborer Renewables,T,55076,10/06/2021,10/06/2021,93,01/07/2022,Lack of Work,0,0
290808,Operator Renewables,T,55089,08/24/2020,07/26/2022,37,09/01/2022,Personal/Family,1,0
290812,Operator Renewables,T,55085,10/06/2021,07/26/2022,391,08/21/2023,No Call-No Show,0,1
290854,Foreman Renewables,A,55113,10/04/2021,10/03/2023,513,,,0,0
290943,Operator Renewables,A,55087,10/14/2021,10/14/2021,"1,232",,,0,0
290948,Operator Renewables,T,55075,10/14/2021,10/14/2021,24,11/07/2021,Transferred out,0,0
290980,Contracts Specialist,A,,11/02/2021,11/02/2021,"1,213",,,0,0
291015,Foreman Renewables,A,55094,10/19/2021,02/06/2024,387,,,0,0
291021,Laborer Renewables,T,55075,10/19/2021,10/19/2021,47,12/05/2021,Excessive Absenteeism,0,1
291029,Laborer Renewables,T,55075,10/19/2021,10/19/2021,66,12/24/2021,No Call-No Show,0,1
291036,Project Controller 3,A,5508201,11/30/2021,11/30/2021,"1,185",,,0,0
291067,Laborer Renewables,T,55076,10/21/2021,10/21/2021,285,08/02/2022,Lack of Work,0,0
291072,Laborer Renewables,T,55076,10/21/2021,10/21/2021,183,04/22/2022,Personal/Family,1,0
291086,Laborer Renewables,T,55105,10/21/2021,10/18/2023,266,07/10/2024,No Call-No Show,0,1
291116,Laborer Renewables,T,55094,10/25/2021,10/04/2022,746,10/19/2024,Performance,0,1
291154,Laborer Renewables,T,55079,10/26/2021,03/16/2022,58,05/13/2022,Resignation,1,0
291160,Laborer Renewables,T,55075,10/26/2021,10/26/2021,99,02/02/2022,Lack of Work,0,0
291163,Foreman Renewables,T,55094,10/26/2021,10/26/2021,"1,127",11/26/2024,Resignation,1,0
291172,Laborer Renewables,T,55079,10/26/2021,10/26/2021,108,02/11/2022,Excessive Absenteeism,0,1
291200,Field Admin,T,55093,10/28/2021,10/18/2022,52,12/09/2022,Excessive Absenteeism,0,1
291247,Laborer Renewables,T,55094,10/27/2021,09/26/2023,455,12/24/2024,Lack of Work,0,0
290914,Laborer Renewables,T,55075,10/12/2021,10/12/2021,50,12/01/2021,Policy Viol-Drug/Alcohol,0,1
290916,Operator Renewables,A,55113,10/12/2021,11/14/2023,471,,,0,0
291013,Gen Foreman Renewables 3,A,55086,10/19/2021,10/19/2021,"1,227",,,0,0
291027,Laborer Renewables,A,55094,10/19/2021,02/20/2024,373,,,0,0
291040,Foreman Renewables,A,55113,10/19/2021,09/12/2023,534,,,0,0
291066,Laborer Renewables,T,55306,10/21/2021,04/11/2023,34,05/15/2023,Lack of Work,0,0
291082,Laborer Renewables,T,55075,10/21/2021,10/21/2021,120,02/18/2022,Lack of Work,0,0
291119,Laborer Renewables,T,55105,10/25/2021,07/31/2024,71,10/10/2024,Resignation,1,0
291164,Laborer Renewables,T,55075,10/26/2021,10/26/2021,603,06/21/2023,Personal/Family,1,0
291166,Laborer Renewables,T,55094,10/26/2021,05/29/2024,170,11/15/2024,Lack of Work,0,0
291187,Training Manager,T,,11/09/2021,11/09/2021,619,07/21/2023,Resignation,1,0
291284,Foreman Renewables,A,55143,11/02/2021,11/02/2021,"1,213",,,0,0
291285,Laborer Renewables,T,55075,11/02/2021,11/02/2021,3,11/05/2021,Resignation,1,0
291287,Laborer Renewables,T,55075,11/02/2021,11/02/2021,3,11/05/2021,Resignation,1,0
291292,HSE Site Manager,A,55106,11/03/2021,03/06/2023,724,,,0,0
291295,Operator Renewables,T,55723,11/02/2021,06/12/2024,79,08/30/2024,Resignation,1,0
291345,Laborer Renewables,T,55085,11/04/2021,11/04/2021,708,10/13/2023,Personal/Family,1,0
291354,Laborer Renewables,T,55090,11/04/2021,11/10/2022,211,06/09/2023,Personal/Family,1,0
291359,Operator Renewables,A,55091,11/09/2021,08/21/2024,190,,,0,0
291370,Superintendent Renewbls,T,55105,11/30/2021,11/30/2021,885,05/03/2024,Other Job,1,0
291466,Operator Renewables,T,55076,11/09/2021,11/09/2021,171,04/29/2022,Other Job,1,0
291481,Laborer Renewables,T,55801,11/10/2021,11/10/2021,"1,108",11/22/2024,Lack of Work,0,0
291482,Purchaser,T,,11/23/2021,11/23/2021,80,02/11/2022,Resignation,1,0
291483,Operator Renewables,A,55143,11/10/2021,11/10/2021,"1,205",,,0,0
291525,Operator Renewables,T,55079,11/11/2021,11/11/2021,41,12/22/2021,Performance,0,1
291553,WH/Material Specialist,T,55085,11/15/2021,11/15/2021,0,11/15/2021,Resignation,1,0
288215,Helper Renewables,T,55074,06/10/2021,06/10/2021,15,06/25/2021,Lack of Work,0,0
288224,Helper Renewables,T,55074,06/10/2021,06/10/2021,14,06/24/2021,Lack of Work,0,0
288230,Helper Renewables,T,55074,06/10/2021,06/10/2021,78,08/27/2021,Lack of Work,0,0
288235,Helper Renewables,T,55074,06/09/2021,06/09/2021,22,07/01/2021,Resignation,1,0
288292,Helper Renewables,T,55074,06/15/2021,06/15/2021,77,08/31/2021,Lack of Work,0,0
288294,Helper Renewables,T,55074,06/15/2021,06/15/2021,24,07/09/2021,Resignation,1,0
288296,Helper Renewables,T,55074,06/15/2021,06/15/2021,29,07/14/2021,Lack of Work,0,0
288304,Helper Renewables,T,55074,06/15/2021,06/15/2021,10,06/25/2021,Lack of Work,0,0
288312,Electrician Renewables,T,55074,06/16/2021,06/16/2021,79,09/03/2021,Lack of Work,0,0
288320,Gen Foreman Renewables 3,T,55086,06/15/2021,06/15/2021,851,10/14/2023,Other Job,1,0
288365,Helper Renewables,T,55074,06/17/2021,03/29/2023,44,05/12/2023,Lack of Work,0,0
288370,Helper Renewables,T,55074,06/17/2021,06/17/2021,92,09/17/2021,Lack of Work,0,0
288377,Helper Renewables,T,55074,06/17/2021,03/31/2022,120,07/29/2022,Lack of Work,0,0
288383,Helper Renewables,T,55074,06/17/2021,06/17/2021,5,06/22/2021,No Call-No Show,0,1
288387,Helper Renewables,T,55074,06/17/2021,06/17/2021,50,08/06/2021,Lack of Work,0,0
288402,Helper Renewables,T,55074,06/17/2021,06/17/2021,71,08/27/2021,Lack of Work,0,0
288403,Electrician Renewables,T,55074,06/17/2021,02/17/2022,134,07/01/2022,Lack of Work,0,0
288475,Laborer Renewables,T,55094,06/21/2021,03/05/2024,256,11/16/2024,Lack of Work,0,0
288500,Foreman Renewables,T,55085,06/22/2021,06/22/2021,388,07/15/2022,Other Job,1,0
288649,Operator Renewables,T,55089,06/30/2021,12/05/2023,43,01/17/2024,Other Job,1,0
288657,Operations Director,T,,06/29/2021,06/29/2021,544,12/25/2022,Transferred out,0,0
288668,Electrician Renewables,T,55074,06/30/2021,06/30/2021,176,12/23/2021,Lack of Work,0,0
288852,Helper Renewables,T,55074,07/06/2021,07/06/2021,170,12/23/2021,Lack of Work,0,0
288857,Helper Renewables,T,55074,07/06/2021,07/06/2021,8,07/14/2021,Lack of Work,0,0
291310,Laborer Renewables,T,55076,11/03/2021,11/03/2021,84,01/26/2022,Resignation,1,0
291312,Laborer Renewables,T,55076,11/03/2021,11/03/2021,272,08/02/2022,Policy Viol-Other,0,0
291353,Foreman Renewables,A,55105,11/04/2021,01/17/2023,772,,,0,0
291357,Laborer Renewables,T,55081,11/09/2021,11/09/2021,10,11/19/2021,No Call-No Show,0,1
291439,Helper Renewables,T,55079,11/09/2021,11/09/2021,63,01/11/2022,Lack of Work,0,0
291440,Superintendent Renewbls,A,55102,11/09/2021,04/15/2024,318,,,0,0
291467,Laborer Renewables,T,55076,11/11/2021,11/11/2021,32,12/13/2021,No Call-No Show,0,1
291485,Procurement Manager,A,,11/30/2021,11/30/2021,"1,185",,,0,0
291486,Procurement Manager,T,,12/07/2021,12/07/2021,57,02/02/2022,Resignation,1,0
291523,Laborer Renewables,T,55087,11/11/2021,03/14/2023,41,04/24/2023,Other Job,1,0
291558,Electrician Renewables,T,55094,11/16/2021,11/15/2022,738,11/22/2024,Lack of Work,0,0
291594,Laborer Renewables,T,55089,11/18/2021,10/11/2022,16,10/27/2022,Resignation,1,0
291598,Laborer Renewables,T,55075,11/18/2021,11/18/2021,62,01/19/2022,Lack of Work,0,0
291689,Operator Renewables,A,55809,11/30/2021,02/26/2025,1,,,0,0
291692,Laborer Renewables,T,55076,11/30/2021,11/30/2021,59,01/28/2022,Personal/Family,1,0
291697,Laborer Renewables,T,55081,12/07/2021,12/07/2021,85,03/02/2022,Policy Viol-Other,0,0
